monomer,log_r,mol1_HOMO_1,mol1_HOMO,mol1_LUMO,mol1_LUMO_Add1,mol2_HOMO_1,mol2_HOMO,mol2_LUMO,mol2_LUMO_Add1,rad1_HOMO_1,rad1_HOMO,rad1_LUMO,rad1_LUMO_Add1
"Acrylate, ethyl.Vinyl isobutyl sulfide",0.36,-0.256191,-0.231242,-0.078408,0.030931,-0.270909,-0.178412,-0.020623,0.000247,-0.222788,-0.194689,-0.138768,0.014338
"Acrylate, ethyl.Vinyl isobutyl sulfide",0.32,-0.256191,-0.231242,-0.078408,0.030931,-0.270909,-0.178412,-0.020623,0.000247,-0.222788,-0.194689,-0.138768,0.014338
Methacrylonitrile.Vinyl cinnamate,4.6,-0.303387,-0.253745,-0.0813,-0.003589,-0.226471,-0.216181,-0.102335,-0.048051,-0.286088,-0.187741,-0.131746,-0.006122
"Maleimide, N-(3-dimethylaminophenyl)-.Styrene",0.19,-0.206125,-0.162206,-0.127751,-0.034434,-0.230012,-0.203579,-0.064886,-0.034535,-0.165755,-0.164261,-0.153633,-0.048525
"Maleimide, N-(3-dimethylaminophenyl)-.Styrene",0.19,-0.206125,-0.162206,-0.127751,-0.034434,-0.230012,-0.203579,-0.064886,-0.034535,-0.165755,-0.164261,-0.153633,-0.048525
"Methacrylate, methyl.Styrene, 2,4,6-trimethyl-",1.511,-0.242223,-0.232505,-0.073856,0.03591,-0.207032,-0.20153,-0.025894,-0.024363,-0.220687,-0.179645,-0.127212,0.015165
"Hexene-1,5-dicarboxylate, dimethyl.Styrene",0.196,-0.227931,-0.225207,-0.068307,-0.027163,-0.230012,-0.203579,-0.064886,-0.034535,-0.222642,-0.192149,-0.135477,-0.025466
Vinyl acetate.Vinyl laurate,1.4,-0.242132,-0.227671,-0.048528,-0.00357,-0.235758,-0.226093,-0.047829,-0.002851,-0.232249,-0.142258,-0.083674,-0.025058
"Acrylate, methyl.Oxazoline, 2-,2-isopropenyl-",0.16,-0.258109,-0.234553,-0.080381,0.040831,-0.2284,-0.200261,-0.062436,0.02659,-0.225703,-0.19639,-0.140428,0.012686
"Acrylate, methyl.Oxazoline, 2-,2-isopropenyl-",0.328,-0.258109,-0.234553,-0.080381,0.040831,-0.2284,-0.200261,-0.062436,0.02659,-0.225703,-0.19639,-0.140428,0.012686
Indene.Vinyl 1-methyl ether,12.64,-0.219158,-0.193166,-0.050514,-0.029899,-0.295457,-0.200807,0.002506,0.039156,-0.21051,-0.149808,-0.079489,-0.031628
"N,N-Divinylaniline.Styrene",0.033,-0.232028,-0.168289,-0.044403,-0.0373,-0.230012,-0.203579,-0.064886,-0.034535,-0.193495,-0.115255,-0.075589,-0.038531
Vinyl chloride.Vinyl methyl ketone,0.1,-0.275305,-0.232771,-0.038977,0.013494,-0.26518,-0.21047,-0.094457,0.018391,-0.266374,-0.159615,-0.090875,0.020184
Vinyl chloride.Vinyl methyl ketone,0.1,-0.275305,-0.232771,-0.038977,0.013494,-0.26518,-0.21047,-0.094457,0.018391,-0.266374,-0.159615,-0.090875,0.020184
"Styrene.Styrene, p-ethoxy",0.98,-0.230012,-0.203579,-0.064886,-0.034535,-0.228441,-0.181657,-0.054471,-0.031081,-0.223398,-0.14625,-0.104501,-0.032198
"Benzophenone, p-vinyl-.Styrene, p-dimethylaminomethyl-",2.54,-0.217073,-0.205767,-0.098764,-0.063294,-0.198375,-0.18036,-0.062815,-0.032308,-0.199717,-0.163786,-0.129536,-0.077991
"Benzophenone, p-vinyl-.Styrene, p-dimethylaminomethyl-",2.54,-0.217073,-0.205767,-0.098764,-0.063294,-0.198375,-0.18036,-0.062815,-0.032308,-0.199717,-0.163786,-0.129536,-0.077991
"Maleate, diethyl.Vinyl acetate",0.004,-0.240998,-0.235935,-0.109954,-0.001315,-0.242132,-0.227671,-0.048528,-0.00357,-0.225566,-0.19524,-0.144715,-0.024545
"Methacrylate, 2-naphthyl.Styrene",0.534,-0.220541,-0.197299,-0.081052,-0.067587,-0.230012,-0.203579,-0.064886,-0.034535,-0.193125,-0.184245,-0.135209,-0.065853
"Methacrylate, cyanomethyl.Styrene",0.28,-0.257967,-0.254951,-0.09221,-0.04086,-0.230012,-0.203579,-0.064886,-0.034535,-0.243037,-0.196856,-0.145616,-0.035755
"Methacrylate, cyanomethyl.Styrene",0.28,-0.257967,-0.254951,-0.09221,-0.04086,-0.230012,-0.203579,-0.064886,-0.034535,-0.243037,-0.196856,-0.145616,-0.035755
Acrylonitrile.Indene,0.29,-0.307886,-0.266671,-0.09291500000000001,-0.013216,-0.219158,-0.19316600000000003,-0.050514,-0.029899,-0.292009,-0.20545899999999997,-0.14659,-0.015383
Acrylonitrile.Indene,0.281,-0.307886,-0.266671,-0.09291500000000001,-0.013216,-0.219158,-0.19316600000000003,-0.050514,-0.029899,-0.292009,-0.20545899999999997,-0.14659,-0.015383
Acrylonitrile.Indene,0.29,-0.307886,-0.266671,-0.09291500000000001,-0.013216,-0.219158,-0.19316600000000003,-0.050514,-0.029899,-0.292009,-0.20545899999999997,-0.14659,-0.015383
Acrylonitrile.Vinyl isobutyl sulfide,0.08,-0.307886,-0.266671,-0.09291500000000001,-0.013216,-0.270909,-0.178412,-0.020623,0.000247,-0.292009,-0.20545899999999997,-0.14659,-0.015383
Acrylonitrile.Vinyl isobutyl sulfide,0.062,-0.307886,-0.266671,-0.09291500000000001,-0.013216,-0.270909,-0.178412,-0.020623,0.000247,-0.292009,-0.20545899999999997,-0.14659,-0.015383
Acrylonitrile.Vinyl isobutyl sulfide,0.08,-0.307886,-0.266671,-0.09291500000000001,-0.013216,-0.270909,-0.178412,-0.020623,0.000247,-0.292009,-0.20545899999999997,-0.14659,-0.015383
"Methacrylate, methyl.Vinylhydroquinone",0.49,-0.242223,-0.232505,-0.073856,0.03591,-0.220274,-0.176622,-0.064516,-0.022763,-0.220687,-0.179645,-0.127212,0.015165
"Methacrylate, methyl.Vinylhydroquinone",0.49,-0.242223,-0.232505,-0.073856,0.03591,-0.220274,-0.176622,-0.064516,-0.022763,-0.220687,-0.179645,-0.127212,0.015165
"Ethylene, chlorotrifluoro-.Ethylene, tetrafluoro-",1.0,-0.316927,-0.229729,-0.029446,-0.02847,-0.385751,-0.23067,-0.014294,0.005803,-0.277087,-0.204358,-0.138799,-0.034825
"Ethylene, chlorotrifluoro-.Ethylene, tetrafluoro-",1.0,-0.316927,-0.229729,-0.029446,-0.02847,-0.385751,-0.23067,-0.014294,0.005803,-0.277087,-0.204358,-0.138799,-0.034825
"4-Pentenoate, 3-oxo-, ethyl.Styrene",3.29,-0.24264800000000003,-0.216719,-0.100232,-0.033198,-0.230012,-0.203579,-0.064886,-0.034535,-0.206552,-0.20476,-0.151576,-0.042332
"4-Pentenoate, 3-oxo-, ethyl.Styrene",1.57,-0.24264800000000003,-0.216719,-0.100232,-0.033198,-0.230012,-0.203579,-0.064886,-0.034535,-0.206552,-0.20476,-0.151576,-0.042332
"4-Pentenoate, 3-oxo-, ethyl.Styrene",1.29,-0.24264800000000003,-0.216719,-0.100232,-0.033198,-0.230012,-0.203579,-0.064886,-0.034535,-0.206552,-0.20476,-0.151576,-0.042332
"4-Pentenoate, 3-oxo-, ethyl.Styrene",1.4,-0.24264800000000003,-0.216719,-0.100232,-0.033198,-0.230012,-0.203579,-0.064886,-0.034535,-0.206552,-0.20476,-0.151576,-0.042332
"4-Pentenoate, 3-oxo-, ethyl.Styrene",0.923,-0.24264800000000003,-0.216719,-0.100232,-0.033198,-0.230012,-0.203579,-0.064886,-0.034535,-0.206552,-0.20476,-0.151576,-0.042332
"4-Pentenoate, 3-oxo-, ethyl.Styrene",0.747,-0.24264800000000003,-0.216719,-0.100232,-0.033198,-0.230012,-0.203579,-0.064886,-0.034535,-0.206552,-0.20476,-0.151576,-0.042332
"4-Pentenoate, 3-oxo-, ethyl.Styrene",0.635,-0.24264800000000003,-0.216719,-0.100232,-0.033198,-0.230012,-0.203579,-0.064886,-0.034535,-0.206552,-0.20476,-0.151576,-0.042332
"4-Pentenoate, 3-oxo-, ethyl.Styrene",1.12,-0.24264800000000003,-0.216719,-0.100232,-0.033198,-0.230012,-0.203579,-0.064886,-0.034535,-0.206552,-0.20476,-0.151576,-0.042332
"4-Pentenoate, 3-oxo-, ethyl.Styrene",0.568,-0.24264800000000003,-0.216719,-0.100232,-0.033198,-0.230012,-0.203579,-0.064886,-0.034535,-0.206552,-0.20476,-0.151576,-0.042332
Vinyl acetate.Vinyl butyrate,1.0,-0.242132,-0.227671,-0.048528,-0.00357,-0.241393,-0.225589,-0.04688,-0.002175,-0.232249,-0.142258,-0.083674,-0.025058
Vinyl acetate.Vinyl butyrate,1.35,-0.242132,-0.227671,-0.048528,-0.00357,-0.241393,-0.225589,-0.04688,-0.002175,-0.232249,-0.142258,-0.083674,-0.025058
"Methacrylate, dodecyl.Styrene",0.3,-0.239265,-0.227971,-0.070677,0.025131,-0.230012,-0.203579,-0.064886,-0.034535,-0.21645,-0.176775,-0.124152,0.017154
"Acrylate, ethyl.Acrylic acid",1.02,-0.256191,-0.231242,-0.078408,0.030931,-0.262736,-0.238315,-0.086569,0.017874,-0.222788,-0.194689,-0.138768,0.014338
"Acrylate, ethyl.Acrylic acid",1.02,-0.256191,-0.231242,-0.078408,0.030931,-0.262736,-0.238315,-0.086569,0.017874,-0.222788,-0.194689,-0.138768,0.014338
"Fumarate, diisopropyl.Methacrylate, methyl",0.17,-0.239274,-0.234233,-0.107735,0.00048,-0.242223,-0.232505,-0.073856,0.03591,-0.224575,-0.193061,-0.143353,-0.021477
"Fumarate, diisopropyl.Methacrylate, methyl",0.17,-0.239274,-0.234233,-0.107735,0.00048,-0.242223,-0.232505,-0.073856,0.03591,-0.224575,-0.193061,-0.143353,-0.021477
"Pyrazole, N-vinyl-3,5-dimethyl-.Styrene",0.049,-0.207928,-0.194222,-0.048178,0.028109,-0.230012,-0.203579,-0.064886,-0.034535,-0.199939,-0.12828,-0.086565,0.003221
"Pyrazole, N-vinyl-3,5-dimethyl-.Styrene",0.049,-0.207928,-0.194222,-0.048178,0.028109,-0.230012,-0.203579,-0.064886,-0.034535,-0.199939,-0.12828,-0.086565,0.003221
Fumaric acid.N-vinylimidazole,0.313,-0.255482,-0.247164,-0.125074,-0.012575,-0.225462,-0.209869,-0.057559,0.013281,-0.235613,-0.210101,-0.157797,-0.036017
"Methacrylate, methyl.Vinylbenzyl chloride",0.46,-0.242223,-0.232505,-0.073856,0.03591,-0.234625,-0.224572,-0.061532,-0.041168,-0.220687,-0.179645,-0.127212,0.015165
"Methacrylate, methyl.Vinylbenzyl chloride",0.46,-0.242223,-0.232505,-0.073856,0.03591,-0.234625,-0.224572,-0.061532,-0.041168,-0.220687,-0.179645,-0.127212,0.015165
"Pentadienoate, trans-4-ethoxy-2,4-, ethyl.Styrene",12.2,-0.224381,-0.206337,-0.085796,0.01352,-0.230012,-0.203579,-0.064886,-0.034535,-0.206438,-0.144695,-0.111885,-0.017644
"Styrene, 2,5-dichloro-.Vinyl methyl ketone",2.0,-0.231008,-0.215022,-0.080688,-0.055121,-0.26518,-0.21047,-0.094457,0.018391,-0.216841,-0.163978,-0.124554,-0.052543
"Styrene, 2,5-dichloro-.Vinyl methyl ketone",2.0,-0.231008,-0.215022,-0.080688,-0.055121,-0.26518,-0.21047,-0.094457,0.018391,-0.216841,-0.163978,-0.124554,-0.052543
"Acrylonitrile.Methacrylate, methyl",0.138,-0.307886,-0.266671,-0.092915,-0.013216,-0.242223,-0.232505,-0.073856,0.03591,-0.292009,-0.205459,-0.14659,-0.015383
"Acrylonitrile.Methacrylate, methyl",0.138,-0.307886,-0.266671,-0.092915,-0.013216,-0.242223,-0.232505,-0.073856,0.03591,-0.292009,-0.205459,-0.14659,-0.015383
"Itaconate, ethyl hexafluoroisopropyl.Styrene",0.039,-0.256675,-0.248848,-0.095178,-0.044393,-0.230012,-0.203579,-0.064886,-0.034535,-0.243737,-0.20448,-0.153167,-0.037106
"Itaconate, ethyl hexafluoroisopropyl.Styrene",0.039,-0.256675,-0.248848,-0.095178,-0.044393,-0.230012,-0.203579,-0.064886,-0.034535,-0.243737,-0.20448,-0.153167,-0.037106
Vinyl chloride.Vinyl stearate,0.71,-0.275305,-0.232771,-0.038977,0.013494,-0.23667,-0.226455,-0.048373,-0.003198,-0.266374,-0.159615,-0.090875,0.020184
Vinyl chloride.Vinyl stearate,0.71,-0.275305,-0.232771,-0.038977,0.013494,-0.23667,-0.226455,-0.048373,-0.003198,-0.266374,-0.159615,-0.090875,0.020184
Methacrylic acid.N-(2-methacryloxyethyl)-,0.746,-0.244043,-0.234005,-0.078886,0.015087,-0.213416,-0.197598,-0.088792,-0.076236,-0.223269,-0.18582,-0.133213,0.012632
"Styrene.Vinylacetophenone, p-",0.246,-0.230012,-0.203579,-0.064886,-0.034535,-0.216619,-0.207565,-0.098028,-0.04856,-0.223398,-0.14625,-0.104501,-0.032198
"Methacrylate, cyanomethyl.Methacrylate, methyl",0.73,-0.257967,-0.254951,-0.09221,-0.04086,-0.242223,-0.232505,-0.073856,0.03591,-0.243037,-0.196856,-0.145616,-0.035755
"Methacrylate, cyanomethyl.Methacrylate, methyl",0.73,-0.257967,-0.254951,-0.09221,-0.04086,-0.242223,-0.232505,-0.073856,0.03591,-0.243037,-0.196856,-0.145616,-0.035755
"Acrylate, ethyl.Allyl chloride",7.73,-0.256191,-0.231242,-0.078408,0.030931,-0.255869,-0.245222,-0.047816,0.014836,-0.222788,-0.194689,-0.138768,0.014338
"Acrylate, ethyl.Allyl chloride",7.73,-0.256191,-0.231242,-0.078408,0.030931,-0.255869,-0.245222,-0.047816,0.014836,-0.222788,-0.194689,-0.138768,0.014338
"Acrylate, N-(2-hydroxyethyl)carbazolyl.Methacryloyl-β-hydroxyethyl-",1.04,-0.199996,-0.184876,-0.092051,-0.061114,-0.264902,-0.254274,-0.109671,0.004029,-0.179866,-0.177284,-0.147345,-0.057381
"Acrylate, N-(2-hydroxyethyl)carbazolyl.Methacryloyl-β-hydroxyethyl-",0.334,-0.199996,-0.184876,-0.092051,-0.061114,-0.264902,-0.254274,-0.109671,0.004029,-0.179866,-0.177284,-0.147345,-0.057381
"Acrylate, N-(2-hydroxyethyl)carbazolyl.Methacryloyl-β-hydroxyethyl-",1.04,-0.199996,-0.184876,-0.092051,-0.061114,-0.264902,-0.254274,-0.109671,0.004029,-0.179866,-0.177284,-0.147345,-0.057381
"Acrylate, N-(2-hydroxyethyl)carbazolyl.Methacryloyl-β-hydroxyethyl-",0.334,-0.199996,-0.184876,-0.092051,-0.061114,-0.264902,-0.254274,-0.109671,0.004029,-0.179866,-0.177284,-0.147345,-0.057381
"Acrylate, ethyl.Acrylate, hydroxyethyl",0.5,-0.256191,-0.231242,-0.078408,0.030931,-0.247284,-0.216604,-0.092871,0.02466,-0.222788,-0.194689,-0.138768,0.014338
"Acrylate, ethyl.Acrylate, hydroxyethyl",0.5,-0.256191,-0.231242,-0.078408,0.030931,-0.247284,-0.216604,-0.092871,0.02466,-0.222788,-0.194689,-0.138768,0.014338
"Methacrylate, 5-oxo-pyrrolidinylmethyl.Methacrylate, methyl",0.694,-0.222128,-0.210003,-0.080788,-0.013605,-0.242223,-0.232505,-0.073856,0.03591,-0.209097,-0.184863,-0.132779,-0.013228
"Methacrylate, 5-oxo-pyrrolidinylmethyl.Methacrylate, methyl",0.694,-0.222128,-0.210003,-0.080788,-0.013605,-0.242223,-0.232505,-0.073856,0.03591,-0.209097,-0.184863,-0.132779,-0.013228
"Acenaphthalene.Methacrylate, methyl",1.05,-0.21030000000000001,-0.19358,-0.098675,-0.03818,-0.242223,-0.232505,-0.073856,0.03591,-0.201307,-0.146505,-0.111752,-0.049983
"Acenaphthalene.Methacrylate, methyl",0.99,-0.21030000000000001,-0.19358,-0.098675,-0.03818,-0.242223,-0.232505,-0.073856,0.03591,-0.201307,-0.146505,-0.111752,-0.049983
"Acenaphthalene.Methacrylate, methyl",2.25,-0.21030000000000001,-0.19358,-0.098675,-0.03818,-0.242223,-0.232505,-0.073856,0.03591,-0.201307,-0.146505,-0.111752,-0.049983
"Acenaphthalene.Methacrylate, methyl",1.05,-0.21030000000000001,-0.19358,-0.098675,-0.03818,-0.242223,-0.232505,-0.073856,0.03591,-0.201307,-0.146505,-0.111752,-0.049983
"Acenaphthalene.Methacrylate, methyl",0.99,-0.21030000000000001,-0.19358,-0.098675,-0.03818,-0.242223,-0.232505,-0.073856,0.03591,-0.201307,-0.146505,-0.111752,-0.049983
"Acenaphthalene.Methacrylate, methyl",2.25,-0.21030000000000001,-0.19358,-0.098675,-0.03818,-0.242223,-0.232505,-0.073856,0.03591,-0.201307,-0.146505,-0.111752,-0.049983
"Citraconimide, N-(4-methoxyphenyl)-.Styrene",0.04,-0.227649,-0.185753,-0.122554,-0.034711,-0.230012,-0.203579,-0.064886,-0.034535,-0.192162,-0.182876,-0.143005,-0.048835
"Citraconimide, N-(4-methoxyphenyl)-.Styrene",0.04,-0.227649,-0.185753,-0.122554,-0.034711,-0.230012,-0.203579,-0.064886,-0.034535,-0.192162,-0.182876,-0.143005,-0.048835
"Acrylic acid, 2-benzamido-.Styrene",0.78,-0.221174,-0.216087,-0.089549,-0.067181,-0.230012,-0.203579,-0.064886,-0.034535,-0.225126,-0.16434,-0.132542,-0.078099
"Acrylic acid, 2-benzamido-.Styrene",0.78,-0.221174,-0.216087,-0.089549,-0.067181,-0.230012,-0.203579,-0.064886,-0.034535,-0.225126,-0.16434,-0.132542,-0.078099
"Acrylonitrile.Propene, 3,3,3-trichloro-",12.2,-0.307886,-0.266671,-0.092915,-0.013216,-0.267222,-0.259911,-0.071417,-0.061553,-0.292009,-0.205459,-0.14659,-0.015383
"Methacrylate, m-chlorophenyl.Styrene",0.209,-0.233211,-0.220786,-0.085455,-0.048919,-0.230012,-0.203579,-0.064886,-0.034535,-0.215132,-0.190137,-0.140535,-0.044987
"Methacrylate, m-chlorophenyl.Styrene",0.209,-0.233211,-0.220786,-0.085455,-0.048919,-0.230012,-0.203579,-0.064886,-0.034535,-0.215132,-0.190137,-0.140535,-0.044987
"Methacrylate, propyl.Styrene",0.38,-0.240033,-0.228932,-0.071478,0.025211,-0.230012,-0.203579,-0.064886,-0.034535,-0.217501,-0.177679,-0.125165,0.0168
"Methacrylate, propyl.Styrene",0.38,-0.240033,-0.228932,-0.071478,0.025211,-0.230012,-0.203579,-0.064886,-0.034535,-0.217501,-0.177679,-0.125165,0.0168
"Acrylonitrile.Butadiene, 1-ethoxy-",0.02,-0.307886,-0.266671,-0.092915,-0.013216,-0.265039,-0.180098,-0.036048,0.029046,-0.292009,-0.205459,-0.14659,-0.015383
"Acrylonitrile.Butadiene, 1-ethoxy-",0.01,-0.307886,-0.266671,-0.092915,-0.013216,-0.265039,-0.180098,-0.036048,0.029046,-0.292009,-0.205459,-0.14659,-0.015383
"Acrylate, methyl.Styrene",0.24,-0.258109,-0.234553,-0.080381,0.040831,-0.23001199999999997,-0.203579,-0.064886,-0.034535,-0.225703,-0.19639,-0.140428,0.012686
"Acrylate, methyl.Styrene",0.8,-0.258109,-0.234553,-0.080381,0.040831,-0.23001199999999997,-0.203579,-0.064886,-0.034535,-0.225703,-0.19639,-0.140428,0.012686
"Acrylate, methyl.Styrene",0.168,-0.258109,-0.234553,-0.080381,0.040831,-0.23001199999999997,-0.203579,-0.064886,-0.034535,-0.225703,-0.19639,-0.140428,0.012686
"Acrylate, methyl.Styrene",0.18,-0.258109,-0.234553,-0.080381,0.040831,-0.23001199999999997,-0.203579,-0.064886,-0.034535,-0.225703,-0.19639,-0.140428,0.012686
"Acrylate, methyl.Styrene",0.18,-0.258109,-0.234553,-0.080381,0.040831,-0.23001199999999997,-0.203579,-0.064886,-0.034535,-0.225703,-0.19639,-0.140428,0.012686
"Acrylate, methyl.Styrene",0.14,-0.258109,-0.234553,-0.080381,0.040831,-0.23001199999999997,-0.203579,-0.064886,-0.034535,-0.225703,-0.19639,-0.140428,0.012686
"Acrylate, methyl.Styrene",0.07,-0.258109,-0.234553,-0.080381,0.040831,-0.23001199999999997,-0.203579,-0.064886,-0.034535,-0.225703,-0.19639,-0.140428,0.012686
"Acrylate, methyl.Styrene",0.3,-0.258109,-0.234553,-0.080381,0.040831,-0.23001199999999997,-0.203579,-0.064886,-0.034535,-0.225703,-0.19639,-0.140428,0.012686
"Acrylate, methyl.Styrene",0.16,-0.258109,-0.234553,-0.080381,0.040831,-0.23001199999999997,-0.203579,-0.064886,-0.034535,-0.225703,-0.19639,-0.140428,0.012686
"Acrylate, methyl.Styrene",0.148,-0.258109,-0.234553,-0.080381,0.040831,-0.23001199999999997,-0.203579,-0.064886,-0.034535,-0.225703,-0.19639,-0.140428,0.012686
"Acrylate, methyl.Styrene",0.24,-0.258109,-0.234553,-0.080381,0.040831,-0.23001199999999997,-0.203579,-0.064886,-0.034535,-0.225703,-0.19639,-0.140428,0.012686
"Acrylate, methyl.Styrene",0.8,-0.258109,-0.234553,-0.080381,0.040831,-0.23001199999999997,-0.203579,-0.064886,-0.034535,-0.225703,-0.19639,-0.140428,0.012686
"Acrylate, methyl.Styrene",0.168,-0.258109,-0.234553,-0.080381,0.040831,-0.23001199999999997,-0.203579,-0.064886,-0.034535,-0.225703,-0.19639,-0.140428,0.012686
"Acrylate, methyl.Styrene",0.18,-0.258109,-0.234553,-0.080381,0.040831,-0.23001199999999997,-0.203579,-0.064886,-0.034535,-0.225703,-0.19639,-0.140428,0.012686
